Date,US_Cases,US_Deaths
01-21-20,1,0
01-22-20,1,0
01-23-20,1,0
01-24-20,2,0
01-25-20,3,0
01-26-20,5,0
01-27-20,5,0
01-28-20,5,0
01-29-20,5,0
01-30-20,6,0
01-31-20,7,0
02-01-20,8,0
02-02-20,11,0
02-03-20,11,0
02-04-20,11,0
02-05-20,12,0
02-06-20,12,0
02-07-20,12,0
02-08-20,12,0
02-09-20,12,0
02-10-20,13,0
02-11-20,13,0
02-12-20,14,0
02-13-20,15,0
02-14-20,15,0
02-15-20,15,0
02-16-20,15,0
02-17-20,25,0
02-18-20,25,0
02-19-20,25,0
02-20-20,27,0
02-21-20,30,0
02-22-20,30,0
02-23-20,30,0
02-24-20,43,0
02-25-20,45,0
02-26-20,60,0
02-27-20,60,0
02-28-20,65,0
02-29-20,70,1
03-01-20,88,3
03-02-20,104,6
03-03-20,125,10
03-04-20,161,12
03-05-20,228,12
03-06-20,311,15
03-07-20,428,19
03-08-20,547,22
03-09-20,748,26
03-10-20,1018,31
03-11-20,1263,37
03-12-20,1668,43
03-13-20,2224,50
03-14-20,2898,60
03-15-20,3600,68
03-16-20,4507,91
03-17-20,5906,117
03-18-20,8350,162
03-19-20,12393,212
03-20-20,18012,277
03-21-20,24528,360
03-22-20,33073,458
03-23-20,43505,579
03-24-20,53938,785
03-25-20,68572,1054
03-26-20,85570,1353
03-27-20,102900,1770
03-28-20,123966,2300
03-29-20,142486,2718
03-30-20,163955,3368
03-31-20,188461,4304
04-01-20,215391,5325
04-02-20,245108,6541
04-03-20,277426,7932
04-04-20,312525,9488
04-05-20,338141,10856
04-06-20,369057,12382
04-07-20,399394,14616
04-08-20,431214,16701
04-09-20,465913,18821
04-10-20,499386,21084
04-11-20,531106,23168
04-12-20,558249,24849
04-13-20,584018,26613
04-14-20,610709,29318
04-15-20,640742,32070
04-16-20,672355,34419
04-17-20,703864,36708
04-18-20,732262,38659
04-19-20,757596,40179
04-20-20,784926,42016
04-21-20,810434,44688
04-22-20,839266,47059
04-23-20,873039,49228
04-24-20,909778,51360
04-25-20,944186,53327
04-26-20,970921,54580
04-27-20,994110,56022
04-28-20,1018744,58416
04-29-20,1045298,60930
04-30-20,1075637,63140
05-01-20,1109601,64902
05-02-20,1139075,66485
05-03-20,1165215,67816
05-04-20,1187176,68905
05-05-20,1210881,71139
05-06-20,1235364,73847
05-07-20,1263839,75805
05-08-20,1291481,77380
05-09-20,1316349,78834
05-10-20,1336666,79766
05-11-20,1354284,80748
05-12-20,1376583,82400
05-13-20,1397724,84168
05-14-20,1424684,85906
05-15-20,1450907,87499
05-16-20,1474565,88724
05-17-20,1493578,89568
05-18-20,1515395,90414
05-19-20,1536355,91934
05-20-20,1559415,93411
05-21-20,1585147,94722
05-22-20,1608936,96010
05-23-20,1631205,97059
05-24-20,1651236,97679
05-25-20,1670336,98189
05-26-20,1689222,98936
05-27-20,1707961,100421
05-28-20,1730427,101621
05-29-20,1754974,102811
05-30-20,1778371,103774
05-31-20,1799005,104378
06-01-20,1820898,105112
06-02-20,1841679,106194
06-03-20,1861657,107183
06-04-20,1883270,108191
06-05-20,1911965,109303
06-06-20,1934475,110031
06-07-20,1953090,110421
06-08-20,1971289,111143
06-09-20,1990093,112173
06-10-20,2013246,113102
06-11-20,2036447,113979
06-12-20,2061939,114758
06-13-20,2087273,115450
06-14-20,2106403,115767
06-15-20,2126520,116215
06-16-20,2151403,116984
06-17-20,2177056,117745
06-18-20,2205115,118472
06-19-20,2235950,119170
06-20-20,2267975,119716
06-21-20,2294354,119973
06-22-20,2324819,120333
06-23-20,2359878,121166
06-24-20,2396858,121933
06-25-20,2438031,124399
06-26-20,2483559,125032
06-27-20,2525858,125543
06-28-20,2565364,125814
06-29-20,2604858,126161
06-30-20,2653243,127461
07-01-20,2703218,128103
07-02-20,2758775,128826
07-03-20,2815928,129417
07-04-20,2865933,129678
07-05-20,2910696,129940
07-06-20,2958011,130331
07-07-20,3012084,131289
07-08-20,3071536,132237
07-09-20,3131422,133078
07-10-20,3199646,133906
07-11-20,3260362,134581
07-12-20,3318167,134976
07-13-20,3379734,135401
07-14-20,3445331,136355
07-15-20,3513667,137326
07-16-20,3589349,138284
07-17-20,3660271,139185
07-18-20,3722719,139960
07-19-20,3784994,140372
07-20-20,3844882,140903
07-21-20,3910148,142030
07-22-20,3979885,143166
07-23-20,4049889,144282
07-24-20,4123413,145429
07-25-20,4190189,146312
07-26-20,4244406,146752
07-27-20,4303587,148448
07-28-20,4366697,149775
07-29-20,4433312,151170
07-30-20,4502423,152431
07-31-20,4571482,153860
08-01-20,4628303,154915
08-02-20,4679096,155335
08-03-20,4726579,155943
08-04-20,4780116,157299
08-05-20,4833837,158551
08-06-20,4891532,159626
08-07-20,4952682,160982
08-08-20,5007922,161948
08-09-20,5056410,162487
08-10-20,5103575,163024
08-11-20,5156920,164475
08-12-20,5211203,165953
08-13-20,5265260,167166
08-14-20,5324737,168342
08-15-20,5375486,169401
08-16-20,5417629,169916
08-17-20,5455136,170451
08-18-20,5498362,171800
08-19-20,5541376,173095
08-20-20,5587401,174137
08-21-20,5636428,175298
08-22-20,5681459,176248
08-23-20,5713799,176694
08-24-20,5754178,177198
08-25-20,5793346,178411
08-26-20,5838125,179604
08-27-20,5883729,180731
08-28-20,5930285,181741
