Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,US_Cases,US_Deaths,US cases %,US Deaths %
01-22-20,555,17,28,510,0,0,0,3.06,5.05,60.71,6,1,0,0.18018018018018017,0.0
01-23-20,654,18,30,606,99,1,2,2.75,4.59,60.0,8,1,0,0.1529051987767584,0.0
01-24-20,941,26,36,879,287,8,6,2.76,3.83,72.22,9,2,0,0.21253985122210414,0.0
01-25-20,1434,42,39,1353,493,16,3,2.93,2.72,107.69,11,3,0,0.20920502092050208,0.0
01-26-20,2118,56,52,2010,684,14,13,2.64,2.46,107.69,13,5,0,0.2360717658168083,0.0
01-27-20,2927,82,61,2784,809,26,9,2.8,2.08,134.43,16,5,0,0.17082336863682954,0.0
01-28-20,5578,131,107,5340,2651,49,46,2.35,1.92,122.43,16,5,0,0.08963786303334528,0.0
01-29-20,6166,133,125,5908,588,2,18,2.16,2.03,106.4,18,5,0,0.0810898475510866,0.0
01-30-20,8234,171,141,7922,2068,38,16,2.08,1.71,121.28,20,6,0,0.07286859363614283,0.0
01-31-20,9927,213,219,9495,1693,42,78,2.15,2.21,97.26,24,7,0,0.07051475773143952,0.0
02-01-20,12038,259,281,11498,2111,46,62,2.15,2.33,92.17,25,8,0,0.06645622196378137,0.0
02-02-20,16787,362,459,15966,4749,103,178,2.16,2.73,78.87,25,11,0,0.06552689581223566,0.0
02-03-20,19887,426,604,18857,3100,64,145,2.14,3.04,70.53,25,11,0,0.05531251571378287,0.0
02-04-20,23898,492,821,22585,4011,66,217,2.06,3.44,59.93,26,11,0,0.04602895639802494,0.0
02-05-20,27643,564,1071,26008,3745,72,250,2.04,3.87,52.66,26,12,0,0.043410628368845634,0.0
02-06-20,30802,634,1418,28750,3159,70,347,2.06,4.6,44.71,26,12,0,0.03895850918771508,0.0
02-07-20,34334,719,1903,31712,3532,85,485,2.09,5.54,37.78,26,12,0,0.03495077765480282,0.0
02-08-20,37068,806,2470,33792,2734,87,567,2.17,6.66,32.63,26,12,0,0.03237293622531564,0.0
02-09-20,40095,906,3057,36132,3027,100,587,2.26,7.62,29.64,26,12,0,0.029928918817807706,0.0
02-10-20,42633,1013,3714,37906,2538,107,657,2.38,8.71,27.28,26,13,0,0.03049281073346938,0.0
02-11-20,44675,1113,4417,39145,2042,100,703,2.49,9.89,25.2,26,13,0,0.029099048684946838,0.0
02-12-20,46561,1118,4849,40594,1886,5,432,2.4,10.41,23.06,26,14,0,0.03006808273018191,0.0
02-13-20,60206,1371,5930,52905,13645,253,1081,2.28,9.85,23.12,26,15,0,0.024914460352788756,0.0
02-14-20,66690,1523,7613,57554,6484,152,1683,2.28,11.42,20.01,27,15,0,0.02249212775528565,0.0
02-15-20,68765,1666,8902,58197,2075,143,1289,2.42,12.95,18.71,27,15,0,0.021813422525994327,0.0
02-16-20,70879,1770,10319,58790,2114,104,1417,2.5,14.56,17.15,27,15,0,0.021162826789317003,0.0
02-17-20,72815,1868,11951,58996,1936,98,1632,2.57,16.41,15.63,27,25,0,0.0343335851129575,0.0
02-18-20,74609,2008,13693,58908,1794,140,1742,2.69,18.35,14.66,27,25,0,0.033508021820423804,0.0
02-19-20,75030,2123,15394,57513,421,115,1701,2.83,20.52,13.79,28,25,0,0.03332000533120085,0.0
02-20-20,75577,2246,17369,55962,547,123,1975,2.97,22.98,12.93,28,27,0,0.035725154478214276,0.0
02-21-20,76206,2250,17966,55990,629,4,597,2.95,23.58,12.52,30,30,0,0.03936697897803323,0.0
02-22-20,77967,2457,21849,53661,1761,207,3883,3.15,28.02,11.25,30,30,0,0.038477817538189234,0.0
02-23-20,78290,2467,22304,53519,323,10,455,3.15,28.49,11.06,31,30,0,0.038319070123898326,0.0
02-24-20,78854,2627,24047,52180,564,160,1743,3.33,30.5,10.92,36,43,0,0.0545311588505339,0.0
02-25-20,79707,2707,26652,50348,853,80,2605,3.4,33.44,10.16,41,45,0,0.056456772930859274,0.0
02-26-20,80670,2767,29077,48826,963,60,2425,3.43,36.04,9.52,47,60,0,0.07437709185570844,0.0
02-27-20,82034,2810,31919,47305,1364,43,2842,3.43,38.91,8.8,51,60,0,0.0731404051978448,0.0
02-28-20,83411,2867,35306,45238,1377,57,3387,3.44,42.33,8.12,57,65,0,0.0779273716895853,0.0
